01:52:21.006 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
01:52:22.273 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-registration-link" at index "0"
01:52:22.273 | 💡 INFO     | BASE_ELEMENT   | Clicking on link "Registration"
01:52:22.659 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/auth/registration
01:52:22.747 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:52:22.747 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Email" is visible
01:52:22.778 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:52:22.778 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Username" is visible
01:52:22.785 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:52:22.786 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Password" is visible
