21:14:31.200 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:14:32.280 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-registration-link" at index "0"
21:14:32.281 | 💡 INFO     | BASE_ELEMENT   | Clicking on link "Registration"
21:14:32.795 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/auth/registration
21:14:32.878 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:14:32.878 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Email" is visible
21:14:32.911 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:14:32.912 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Username" is visible
21:14:32.927 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:14:32.927 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Password" is visible
