21:19:47.824 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:19:49.160 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-registration-link" at index "0"
21:19:49.160 | 💡 INFO     | BASE_ELEMENT   | Clicking on link "Registration"
21:19:49.351 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/auth/registration
21:19:49.372 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:19:49.372 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Email" is visible
21:19:49.382 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:19:49.387 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Username" is visible
21:19:49.408 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:19:49.408 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Password" is visible
