20:00:55.152 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
20:00:57.002 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-registration-link" at index "0"
20:00:57.003 | 💡 INFO     | BASE_ELEMENT   | Clicking on link "Registration"
20:00:57.371 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/auth/registration
20:00:57.414 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:00:57.414 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Email" is visible
20:00:57.504 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:00:57.504 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Username" is visible
20:00:57.538 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:00:57.539 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Password" is visible
