20:00:57.008 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
20:00:58.140 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-registration-link" at index "0"
20:00:58.141 | 💡 INFO     | BASE_ELEMENT   | Clicking on link "Registration"
20:00:58.672 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/auth/registration
20:00:58.772 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:00:58.773 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Email" is visible
20:00:58.806 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:00:58.807 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Username" is visible
20:00:58.835 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:00:58.836 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Password" is visible
