21:01:30.491 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:01:32.276 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-registration-link" at index "0"
21:01:32.276 | 💡 INFO     | BASE_ELEMENT   | Clicking on link "Registration"
21:01:32.558 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/auth/registration
21:01:32.590 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:32.590 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Email" is visible
21:01:32.670 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:32.671 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Username" is visible
21:01:32.688 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:32.688 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Password" is visible
